	DJIA	CPI	REAL DJIA
Август 1956	6,218679798	3,306886702	8,366292292
Сентябрь 1956	6,163840981	3,310543013	8,307797164
Октябрь 1956	6,173473555	3,314186005	8,313786747
Ноябрь 1956	6,158630164	3,314186005	8,298943356
Декабрь 1956	6,213547536	3,317815773	8,35023096
Январь 1957	6,172034571	3,317815773	8,308717995
Февраль 1957	6,141219867	3,321432413	8,27428665
Март 1957	6,162914724	3,325036021	8,2923779
Апрель 1957	6,203263997	3,328626689	8,329136504
Май 1957	6,224419806	3,33220451	8,346714492
Июнь 1957	6,221166545	3,335769576	8,339896165
Июль 1957	6,231504546	3,342861805	8,343141938
Август 1957	6,182807786	3,342861805	8,294445178
Сентябрь 1957	6,123150488	3,342861805	8,23478788
Октябрь 1957	6,089135574	3,342861805	8,200772966
Ноябрь 1957	6,108958652	3,346389145	8,217068703
Декабрь 1957	6,076930981	3,346389145	8,185041033
Январь 1958	6,109292026	3,353406718	8,210384505
Февраль 1958	6,086592892	3,353406718	8,187685371
Март 1958	6,102021538	3,360375387	8,196145347
Апрель 1958	6,122185745	3,363841595	8,212843346
Май 1958	6,137078896	3,363841595	8,227736497
Июнь 1958	6,169987231	3,363841595	8,260644832
Июль 1958	6,220570289	3,36729583	8,307773656
Август 1958	6,231720837	3,363841595	8,322378438
Сентябрь 1958	6,276812648	3,363841595	8,367470249
Октябрь 1958	6,297514394	3,363841595	8,388171996
Ноябрь 1958	6,323390752	3,36729583	8,410594118
Декабрь 1958	6,369301488	3,363841595	8,459959089
Январь 1959	6,386811977	3,36729583	8,474015344
Февраль 1959	6,402746041	3,363841595	8,493403642
Март 1959	6,399775602	3,363841595	8,490433203
Апрель 1959	6,435749647	3,36729583	8,522953014
Май 1959	6,467372586	3,36729583	8,554575952
Июнь 1959	6,467077415	3,370738174	8,550838437
Июль 1959	6,514534897	3,374168709	8,594865384
Август 1959	6,498899429	3,374168709	8,579229916
Сентябрь 1959	6,448382937	3,377587516	8,525294617
Октябрь 1959	6,471727865	3,380994674	8,545232387
Ноябрь 1959	6,490996638	3,380994674	8,56450116
Декабрь 1959	6,521151179	3,380994674	8,594655701
Январь 1960	6,433936381	3,377587516	8,510848061
Февраль 1960	6,445910277	3,380994674	8,5194148
Март 1960	6,424204297	3,380994674	8,497708819
Апрель 1960	6,399758982	3,384390263	8,469867915
Май 1960	6,43855133	3,384390263	8,508660263
Июнь 1960	6,462436457	3,387774361	8,529161293
Июль 1960	6,424431327	3,387774361	8,491156162
Август 1960	6,439334397	3,387774361	8,506059232
Сентябрь 1960	6,363269454	3,387774361	8,429994289
Октябрь 1960	6,363648601	3,394508394	8,423639404
Ноябрь 1960	6,392285555	3,394508394	8,452276358
Декабрь 1960	6,423068376	3,394508394	8,483059179
Январь 1961	6,474199291	3,394508394	8,534190094
Февраль 1961	6,495386395	3,394508394	8,555377198
Март 1961	6,517124595	3,394508394	8,577115398
